token,format,description,source
top_current_cvr_pct,string,Formatted current CVR percent for top evidence.,InsightNode (top evidence)
top_baseline_cvr_pct,string,Formatted baseline CVR percent for top evidence.,InsightNode (top evidence)
top_cvr_delta_pct_fmt,string,Formatted CVR delta percent for top evidence.,InsightNode (top evidence)
top_atc_rate_delta_pct_fmt,string,Formatted ATC rate delta percent for top evidence.,InsightNode (top evidence)
top_atc_sessions_delta_pct_fmt,string,Formatted ATC sessions delta percent for top evidence.,InsightNode (top evidence)
top_current_sessions,number,Current sessions for top evidence.,InsightNode (top evidence)
top_baseline_sessions,number,Baseline sessions for top evidence.,InsightNode (top evidence)
top_current_orders,number,Current orders for top evidence.,InsightNode (top evidence)
top_baseline_orders,number,Baseline orders for top evidence.,InsightNode (top evidence)
top_current_atc_sessions,number,Current ATC sessions for top evidence.,InsightNode (top evidence)
top_baseline_atc_sessions,number,Baseline ATC sessions for top evidence.,InsightNode (top evidence)
top_current_atc_rate_pct,string,Formatted current ATC rate percent for top evidence.,InsightNode (top evidence)
top_baseline_atc_rate_pct,string,Formatted baseline ATC rate percent for top evidence.,InsightNode (top evidence)
top_sessions_delta_pct_fmt,string,Formatted sessions delta percent for top evidence.,InsightNode (top evidence)
baseline_top5_pages,string,Formatted ranked list stored by output_key (example key).,RecursiveDimensionBreakdownNode output_key
baseline_bottom5_pages,string,Formatted ranked list stored by output_key (example key).,RecursiveDimensionBreakdownNode output_key
